image_path,video,frame,true_label,predicted_label,confidence,drone_probability,background_probability
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_011412.jpg,positive,test_011412.jpg,Drone,Background,0.9814837574958801,0.01851624622941017,0.9814837574958801
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_011414.jpg,positive,test_011414.jpg,Drone,Background,0.9755073189735413,0.024492673575878143,0.9755073189735413
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_014700.jpg,positive,test_014700.jpg,Drone,Background,0.9734894037246704,0.026510581374168396,0.9734894037246704
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_011537.jpg,positive,test_011537.jpg,Drone,Background,0.9715160727500916,0.028483960777521133,0.9715160727500916
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_012115.jpg,positive,test_012115.jpg,Drone,Background,0.9714553356170654,0.028544722124934196,0.9714553356170654
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_014139.jpg,positive,test_014139.jpg,Drone,Background,0.9636194705963135,0.0363805778324604,0.9636194705963135
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_010760.jpg,positive,test_010760.jpg,Drone,Background,0.9625643491744995,0.03743557259440422,0.9625643491744995
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013461.jpg,positive,test_013461.jpg,Drone,Background,0.9618951678276062,0.03810487315058708,0.9618951678276062
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_010602.jpg,positive,test_010602.jpg,Drone,Background,0.9595966935157776,0.04040326550602913,0.9595966935157776
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_011415.jpg,positive,test_011415.jpg,Drone,Background,0.9589636325836182,0.041036348789930344,0.9589636325836182
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013451.jpg,positive,test_013451.jpg,Drone,Background,0.9489274621009827,0.05107256770133972,0.9489274621009827
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_012501.jpg,positive,test_012501.jpg,Drone,Background,0.9470436573028564,0.05295628309249878,0.9470436573028564
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_010657.jpg,positive,test_010657.jpg,Drone,Background,0.9454905986785889,0.054509397596120834,0.9454905986785889
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_011340.jpg,positive,test_011340.jpg,Drone,Background,0.9446753263473511,0.05532468482851982,0.9446753263473511
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013453.jpg,positive,test_013453.jpg,Drone,Background,0.9439834356307983,0.05601652339100838,0.9439834356307983
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_005181.jpg,positive,test_005181.jpg,Drone,Background,0.9430558085441589,0.05694416165351868,0.9430558085441589
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_010826.jpg,positive,test_010826.jpg,Drone,Background,0.942381739616394,0.05761824548244476,0.942381739616394
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_006856.jpg,positive,test_006856.jpg,Drone,Background,0.9413484334945679,0.05865161865949631,0.9413484334945679
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_010750.jpg,positive,test_010750.jpg,Drone,Background,0.9398769736289978,0.060123011469841,0.9398769736289978
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_005572.jpg,positive,test_005572.jpg,Drone,Background,0.9307559132575989,0.0692441314458847,0.9307559132575989
