image_path,video,frame,true_label,predicted_label,confidence,drone_probability,background_probability
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012042.jpg,negative,test_012042.jpg,Background,Drone,0.998542070388794,0.998542070388794,0.001458000740967691
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012024.jpg,negative,test_012024.jpg,Background,Drone,0.9978792667388916,0.9978792667388916,0.002120726741850376
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012082.jpg,negative,test_012082.jpg,Background,Drone,0.9973121881484985,0.9973121881484985,0.0026878565549850464
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012078.jpg,negative,test_012078.jpg,Background,Drone,0.9972359538078308,0.9972359538078308,0.0027640711050480604
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012080.jpg,negative,test_012080.jpg,Background,Drone,0.9957205653190613,0.9957205653190613,0.004279515240341425
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012087.jpg,negative,test_012087.jpg,Background,Drone,0.995337963104248,0.995337963104248,0.004662012681365013
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_011967.jpg,negative,test_011967.jpg,Background,Drone,0.9951145648956299,0.9951145648956299,0.004885452333837748
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012052.jpg,negative,test_012052.jpg,Background,Drone,0.9950280785560608,0.9950280785560608,0.004971934016793966
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_011948.jpg,negative,test_011948.jpg,Background,Drone,0.9949690699577332,0.9949690699577332,0.005030959844589233
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012017.jpg,negative,test_012017.jpg,Background,Drone,0.9949340224266052,0.9949340224266052,0.005065998528152704
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012164.jpg,negative,test_012164.jpg,Background,Drone,0.9946241974830627,0.9946241974830627,0.005375756416469812
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012076.jpg,negative,test_012076.jpg,Background,Drone,0.9944949746131897,0.9944949746131897,0.005504980683326721
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_011787.jpg,negative,test_011787.jpg,Background,Drone,0.9943509101867676,0.9943509101867676,0.005649041850119829
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012178.jpg,negative,test_012178.jpg,Background,Drone,0.9938579201698303,0.9938579201698303,0.006142046768218279
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012134.jpg,negative,test_012134.jpg,Background,Drone,0.993636965751648,0.993636965751648,0.0063630067743361
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_011952.jpg,negative,test_011952.jpg,Background,Drone,0.9933075904846191,0.9933075904846191,0.006692362017929554
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012206.jpg,negative,test_012206.jpg,Background,Drone,0.9931318163871765,0.9931318163871765,0.006868144031614065
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012242.jpg,negative,test_012242.jpg,Background,Drone,0.9930036664009094,0.9930036664009094,0.006996351294219494
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012177.jpg,negative,test_012177.jpg,Background,Drone,0.9929764866828918,0.9929764866828918,0.007023518439382315
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\negative\test_012130.jpg,negative,test_012130.jpg,Background,Drone,0.9924454092979431,0.9924454092979431,0.007554577197879553
